FASTA_NAME	Gs(U)_NO_ALA_N2	Gs(U)_NO_AHR_N2	Gs(U)_NO_AHR_Ar	Gs(U)_NO_AHR_K	Gs(U)_NO_AHR_SI50	Gs(U)_NO_PRT_N2	Gs(U)_NO_PRT_Ar	Gs(U)_NO_PRT_K	Gs(U)_NO_PRT_SI50	Mw_NO_ALA_N2	Mw_NO_AHR_N2	Mw_NO_AHR_Ar	Mw_NO_AHR_K	Mw_NO_AHR_SI50	Mw_NO_PRT_N2	Mw_NO_PRT_Ar	Mw_NO_PRT_K	Mw_NO_PRT_SI50
seq287	965.13	6,551.35	-90.48	5,757.27	0.37	8,891.52	-104.50	33,782.08	0.48	368.93	1,314.31	113.41	9,914.11	0.30	1,909.93	109.76	35,891.23	0.42
seq288	1,050.70	9,171.77	-188.04	21,790.74	0.32	12,917.66	-154.05	111,031.45	0.44	401.64	1,755.81	116.59	30,608.32	0.26	2,683.34	114.66	94,854.52	0.39
seq289	947.09	7,340.51	-107.08	9,197.66	0.36	10,258.24	-96.04	80,015.93	0.45	362.03	1,473.99	115.97	14,708.34	0.31	2,358.20	110.02	59,476.66	0.42
seq290	1,174.72	6,732.46	-91.17	6,779.83	0.34	9,102.12	-144.85	40,048.03	0.46	449.04	1,344.41	109.55	10,116.09	0.30	1,980.08	109.07	35,793.71	0.43
seq291	1,866.66	6,149.08	-31.68	6,718.08	0.27	10,704.98	-105.41	160,598.92	0.33	713.54	1,356.62	95.60	9,067.44	0.23	2,400.01	88.38	159,673.00	0.32
seq292	1,531.65	10,700.64	-42.36	33,782.10	0.30	15,427.61	-73.70	219,631.61	0.41	585.48	2,099.49	113.15	62,319.06	0.25	3,137.41	111.07	236,508.30	0.37
seq293	694.98	5,097.60	-250.91	2,624.14	0.40	7,213.45	-246.29	9,897.79	0.52	265.66	1,000.66	115.69	3,453.46	0.30	1,478.53	113.98	10,293.39	0.45
seq294	765.83	8,441.15	-151.69	16,696.40	0.32	12,424.15	-160.12	100,104.83	0.44	292.74	1,689.53	120.66	25,140.15	0.28	2,622.45	116.13	74,539.03	0.40
seq295	947.09	6,925.23	-135.65	7,490.16	0.38	10,264.25	-89.85	63,230.03	0.45	362.03	1,399.49	114.92	12,863.61	0.30	2,272.58	107.44	63,106.52	0.42
seq296	809.62	6,544.38	-154.04	5,084.49	0.35	9,103.96	-110.88	31,657.45	0.46	309.48	1,228.30	115.15	7,771.08	0.27	1,905.42	111.23	31,906.60	0.43
seq297	1,722.48	14,983.02	-140.27	135,939.22	0.28	22,216.24	-102.11	-6,015,623.40	0.38	658.43	2,860.50	116.18	208,776.69	0.23	4,637.57	115.12	-4,819,388.81	0.34
seq298	321.71	4,161.28	-261.40	858.36	0.44	6,431.32	-137.32	4,432.04	0.58	122.98	746.73	120.03	1,126.11	0.33	1,248.40	117.16	4,342.25	0.51
seq299	1,450.68	8,694.07	-226.85	18,694.14	0.31	12,591.07	-136.35	109,849.58	0.42	554.53	1,667.19	110.77	24,637.52	0.24	2,648.72	106.36	136,817.42	0.39
seq300	1,426.70	8,337.03	-224.18	15,942.58	0.31	12,588.29	-137.39	111,357.32	0.42	545.36	1,599.01	110.06	20,849.79	0.24	2,642.37	105.67	139,437.24	0.38
seq301	809.62	4,624.77	-34.77	1,106.25	0.38	6,463.58	-86.97	6,384.02	0.53	309.48	864.90	106.98	1,876.09	0.31	1,260.42	105.72	8,454.92	0.46
seq302	809.62	4,624.77	-34.77	1,106.25	0.38	6,463.58	-86.97	6,384.02	0.53	309.48	864.90	106.98	1,876.09	0.31	1,260.42	105.72	8,454.92	0.46
seq303	1,762.09	9,480.61	-92.40	28,016.79	0.31	14,514.55	-132.54	331,606.52	0.39	673.57	1,961.46	109.33	45,932.80	0.26	3,281.11	107.39	317,334.45	0.37
seq304	491.42	3,822.31	-176.05	593.13	0.46	6,189.78	-138.60	3,904.32	0.55	187.85	699.18	114.36	894.33	0.37	1,166.50	110.06	5,419.73	0.50
seq305	788.03	4,780.58	-86.33	1,303.63	0.38	6,701.24	-115.84	5,828.24	0.54	301.23	882.98	108.48	2,057.73	0.31	1,270.28	107.80	8,378.67	0.46
seq306	742.96	4,777.19	-99.68	1,367.25	0.39	6,759.35	-125.72	6,015.25	0.54	284.00	888.03	110.16	2,104.67	0.32	1,283.40	108.47	8,627.16	0.46
seq307	742.96	4,705.38	-83.55	1,210.48	0.39	6,616.06	-112.28	6,190.99	0.53	284.00	866.64	109.27	1,958.16	0.31	1,267.91	107.17	8,605.55	0.46
seq308	809.62	7,578.92	-77.24	8,204.38	0.36	10,928.62	-61.50	56,288.53	0.47	309.48	1,444.51	116.36	13,869.36	0.29	2,249.00	115.58	42,383.30	0.42
seq309	1,485.92	17,554.66	-147.56	237,056.57	0.26	24,877.79	-79.01	-6,576,286.90	0.36	568.00	3,291.95	119.18	361,758.20	0.20	5,076.72	113.60	-5,107,109.79	0.31
seq310	909.94	7,224.18	-145.92	7,468.63	0.34	9,581.50	-81.22	24,893.64	0.48	347.83	1,354.56	114.59	11,442.44	0.26	1,927.35	115.73	25,283.94	0.42
seq311	643.42	6,253.48	-249.47	5,011.29	0.39	8,050.68	-123.13	20,017.30	0.50	245.95	1,193.13	118.34	6,813.40	0.30	1,701.17	113.83	12,899.01	0.44
seq312	1,050.70	10,293.60	-162.85	28,262.62	0.32	14,067.05	-82.85	157,769.78	0.43	401.64	1,911.48	116.54	42,209.73	0.25	2,914.65	113.00	125,523.62	0.38
seq313	1,286.85	9,844.29	-147.41	25,231.69	0.30	14,042.59	-91.10	150,755.04	0.42	491.90	1,859.75	114.57	39,355.56	0.24	2,903.71	110.61	163,068.03	0.38
seq314	890.78	7,442.18	-179.48	8,642.58	0.35	10,695.34	-115.61	42,390.59	0.46	340.50	1,402.18	115.80	13,150.20	0.25	2,100.56	112.25	48,514.64	0.41
seq315	616.03	5,740.27	-105.60	2,599.80	0.38	8,756.21	-52.39	19,360.87	0.50	235.48	1,059.02	116.06	4,352.71	0.29	1,743.47	113.37	18,661.52	0.44
seq316	809.62	6,888.40	-136.96	5,422.36	0.37	9,115.47	-47.90	26,108.52	0.48	309.48	1,277.41	115.26	9,122.66	0.28	1,838.19	111.81	25,307.57	0.42
seq317	587.36	5,263.79	-245.39	2,258.76	0.38	6,504.26	-194.37	6,109.22	0.54	224.52	963.06	116.77	3,089.60	0.27	1,308.42	114.08	5,515.83	0.47
seq318	1,352.21	10,057.69	-245.69	38,160.62	0.29	12,588.48	-125.62	117,625.71	0.40	516.89	2,000.41	115.55	51,631.02	0.23	2,658.15	107.40	155,393.61	0.36
seq319	1,313.38	8,055.33	-59.22	11,709.76	0.33	12,204.75	-84.38	82,422.77	0.45	502.05	1,572.43	110.01	19,622.00	0.27	2,501.73	112.36	86,981.13	0.40
seq320	1,098.85	7,893.98	-89.41	11,284.41	0.34	11,736.52	-104.67	72,096.50	0.46	420.04	1,557.98	114.20	18,499.12	0.30	2,412.10	114.08	64,848.10	0.42
seq321	909.94	9,761.10	-61.92	21,087.63	0.33	13,650.88	-28.63	166,358.87	0.43	347.83	1,854.70	117.15	34,698.27	0.27	2,905.45	112.53	127,587.88	0.38
seq322	491.42	3,225.25	104.18	288.52	0.45	5,418.37	26.33	3,989.82	0.57	187.85	653.20	111.52	704.29	0.43	1,120.64	111.57	3,722.87	0.54
seq323	928.70	5,597.83	-105.15	3,061.48	0.38	8,617.22	-104.14	29,006.49	0.48	355.00	1,090.89	109.82	4,738.32	0.31	1,844.69	108.73	28,569.74	0.45
seq324	669.70	6,547.19	-304.43	6,686.15	0.35	9,267.23	-162.60	26,023.55	0.46	255.99	1,242.06	118.58	8,398.65	0.22	1,941.05	112.41	25,015.30	0.39
seq325	890.78	6,842.59	-77.94	6,802.57	0.35	9,804.86	-101.00	38,410.94	0.48	340.50	1,387.99	116.17	12,215.59	0.30	2,077.87	116.76	30,394.27	0.44
seq326	1,474.27	10,844.50	-148.52	39,312.40	0.30	16,468.89	-77.80	255,325.63	0.41	563.55	2,072.29	114.02	60,630.97	0.23	3,329.01	113.01	259,393.75	0.36
seq327	1,083.04	6,488.48	35.57	4,415.97	0.36	10,541.94	-79.56	46,301.79	0.47	414.00	1,298.72	109.62	9,153.36	0.31	2,148.88	112.18	45,893.88	0.43
seq328	788.03	8,584.97	-295.10	17,273.87	0.33	11,638.11	-112.22	75,960.13	0.45	301.23	1,617.84	120.24	22,468.88	0.25	2,449.44	113.24	65,683.45	0.40
seq329	719.37	8,012.64	-222.33	12,914.33	0.35	10,845.35	-120.69	45,713.60	0.47	274.98	1,543.68	119.97	17,685.98	0.28	2,214.23	114.26	43,972.53	0.42
seq330	1,000.24	11,765.05	-250.17	69,994.73	0.30	16,975.61	-209.34	304,292.58	0.41	382.35	2,326.23	119.85	85,696.26	0.24	3,567.12	115.48	271,878.28	0.37
seq331	1,389.95	6,307.01	83.56	4,479.11	0.30	10,696.78	-58.09	68,002.77	0.42	531.32	1,302.24	102.84	8,814.89	0.28	2,232.95	106.42	74,507.20	0.42
seq332	1,144.98	8,449.56	-64.09	13,107.71	0.33	12,244.60	-62.46	109,015.83	0.43	437.67	1,617.58	112.58	22,183.87	0.26	2,585.32	109.46	107,704.27	0.40
seq333	1,894.18	9,703.52	79.11	21,365.66	0.26	14,129.50	-44.41	188,100.44	0.40	724.06	1,940.93	105.54	42,808.11	0.25	2,964.74	107.56	208,707.32	0.38
seq334	321.71	4,587.98	-205.09	1,482.78	0.42	6,450.14	-174.40	7,654.65	0.56	122.98	891.95	122.79	2,127.88	0.34	1,377.79	119.28	4,452.79	0.51
seq335	765.83	4,656.87	-277.56	1,564.53	0.39	6,183.92	-142.62	7,514.73	0.51	292.74	862.63	110.29	1,936.69	0.29	1,277.38	108.42	7,363.67	0.47
seq336	1,114.44	4,991.46	53.98	1,735.03	0.35	8,101.63	-60.28	19,058.42	0.49	426.00	1,028.42	103.31	3,533.89	0.30	1,675.31	109.11	21,589.21	0.46
seq337	788.03	8,732.27	-268.02	17,804.20	0.33	11,785.78	-208.49	53,893.98	0.46	301.23	1,639.07	119.87	24,296.75	0.23	2,381.25	116.34	53,417.18	0.39
seq338	830.65	7,597.66	-103.09	10,468.51	0.36	10,935.22	-87.39	74,550.97	0.46	317.52	1,518.92	116.63	16,259.73	0.31	2,396.20	112.96	57,021.15	0.42
seq339	643.42	8,283.39	-72.01	8,656.52	0.32	11,939.51	-7.21	78,857.13	0.44	245.95	1,480.42	117.82	14,499.11	0.26	2,413.43	113.20	58,187.93	0.39
seq340	1,174.72	8,019.62	-154.11	10,289.66	0.32	10,533.26	-66.28	50,888.78	0.45	449.04	1,469.28	111.21	15,281.35	0.26	2,116.60	106.33	60,742.43	0.40
seq341	909.94	5,617.48	-245.41	4,609.58	0.38	7,354.48	-147.24	17,281.36	0.50	347.83	1,157.35	113.12	6,157.02	0.28	1,638.18	106.66	17,677.65	0.44
seq342	1,232.06	8,989.69	-203.13	17,330.75	0.31	12,380.85	-113.57	92,131.63	0.43	470.96	1,653.18	113.13	24,107.78	0.24	2,584.65	113.13	83,931.94	0.39
seq343	669.70	6,611.93	-167.19	6,121.02	0.39	8,491.89	-143.46	40,390.09	0.46	255.99	1,315.23	118.13	9,900.22	0.30	2,031.43	113.30	19,651.45	0.43
seq344	587.36	5,788.94	-114.49	3,067.44	0.40	8,521.64	-38.66	23,097.83	0.51	224.52	1,109.49	117.47	5,098.15	0.32	1,787.09	114.08	18,510.39	0.45
seq345	965.13	8,055.91	-150.03	12,011.33	0.35	11,454.96	-96.92	80,180.85	0.44	368.93	1,541.10	115.34	18,640.27	0.26	2,387.85	110.23	76,268.52	0.39
seq346	788.03	5,472.49	-128.04	2,413.13	0.41	8,019.74	-28.82	16,338.10	0.52	301.23	1,037.38	112.21	3,994.08	0.32	1,623.30	111.62	16,476.71	0.46
seq347	830.65	5,960.28	-146.79	3,907.97	0.35	8,478.23	-87.13	24,029.75	0.49	317.52	1,140.45	113.52	5,610.07	0.28	1,821.67	112.13	21,966.96	0.45
seq348	965.13	7,848.73	-215.69	11,107.54	0.34	11,668.55	-53.63	75,635.51	0.45	368.93	1,471.88	115.46	15,481.72	0.27	2,445.66	113.49	64,545.31	0.41
seq349	1,000.24	5,907.66	-165.09	4,561.26	0.38	7,998.91	-145.89	38,618.63	0.46	382.35	1,193.27	111.44	6,413.42	0.31	1,919.39	108.95	26,680.11	0.44
seq350	491.42	3,948.68	-228.63	947.98	0.44	5,569.76	-161.37	3,574.03	0.60	187.85	773.22	117.31	1,307.82	0.36	1,130.44	112.99	4,112.45	0.53
seq351	947.09	7,503.57	-164.81	11,159.11	0.34	9,828.11	-146.94	54,326.28	0.46	362.03	1,500.67	116.30	16,477.73	0.29	2,171.26	111.87	45,757.19	0.42
seq352	454.97	3,808.85	-162.01	914.27	0.49	5,637.68	-40.63	4,385.59	0.59	173.91	790.57	117.34	1,292.77	0.43	1,151.68	109.72	5,167.35	0.53
seq353	851.17	5,662.53	15.84	2,631.08	0.35	8,795.84	-48.57	20,058.65	0.50	325.36	1,109.23	111.47	4,975.01	0.31	1,740.30	112.51	22,767.32	0.45
seq354	965.13	8,748.36	-135.69	17,718.26	0.34	12,041.03	-96.00	81,779.23	0.46	368.93	1,716.24	116.48	26,765.78	0.29	2,513.79	114.05	74,447.61	0.41
seq355	1,034.16	7,172.67	-98.93	8,165.12	0.35	10,787.00	-93.10	49,630.99	0.46	395.31	1,405.94	112.55	12,934.38	0.28	2,255.58	114.12	49,881.35	0.42
seq356	871.20	7,896.53	-138.61	12,396.67	0.36	11,085.77	-92.28	90,035.52	0.45	333.02	1,570.88	117.40	18,538.17	0.31	2,483.55	112.03	67,899.95	0.42
seq357	1,114.44	6,573.05	65.58	4,356.95	0.30	9,406.28	-59.91	32,363.53	0.44	426.00	1,282.94	108.25	8,840.53	0.27	1,917.90	108.96	34,388.05	0.43
seq358	587.36	4,757.22	-228.84	1,767.58	0.44	7,166.44	-126.90	18,543.43	0.49	224.52	912.10	115.75	2,368.76	0.35	1,582.84	105.66	20,054.01	0.46
seq359	587.36	5,297.12	-136.41	1,678.31	0.38	7,654.40	-94.21	11,957.04	0.52	224.52	941.31	115.02	2,775.91	0.28	1,525.35	114.13	9,964.35	0.44
seq360	909.94	7,693.94	-160.77	11,685.59	0.36	11,420.01	-133.76	101,908.28	0.44	347.83	1,528.87	116.86	17,538.52	0.29	2,493.57	110.42	88,885.05	0.41
seq361	719.37	7,131.42	-169.89	6,590.03	0.35	9,904.11	-96.58	34,141.14	0.48	274.98	1,315.94	117.59	9,760.72	0.28	2,015.50	115.16	27,178.84	0.42
seq362	1,948.06	9,559.34	-92.90	32,750.90	0.27	13,061.74	-137.41	206,623.38	0.39	744.65	2,000.37	107.69	45,011.87	0.25	2,946.13	105.56	216,038.67	0.38
seq363	454.97	4,014.37	-109.72	766.42	0.48	5,305.64	-86.26	2,825.31	0.60	173.91	763.67	114.77	1,219.19	0.38	1,099.46	112.69	2,948.76	0.54
seq364	1,462.52	7,674.03	-97.25	14,213.06	0.32	11,877.30	-100.32	161,512.75	0.42	559.05	1,641.79	109.93	21,936.67	0.29	2,735.68	106.70	148,026.91	0.40
seq365	1,098.85	6,005.06	-1.71	3,402.46	0.36	9,629.60	-22.54	37,007.66	0.47	420.04	1,172.91	106.55	6,121.63	0.30	1,966.62	108.65	38,613.92	0.43
seq366	587.36	4,983.42	-87.46	1,466.04	0.42	6,643.85	-91.48	7,526.96	0.55	224.52	916.78	113.73	2,522.76	0.38	1,364.92	114.41	6,259.79	0.47
seq367	587.36	4,918.25	-105.40	1,718.50	0.43	6,662.78	-54.05	7,624.77	0.56	224.52	957.42	116.02	2,836.65	0.36	1,399.07	114.84	6,655.64	0.50
seq368	1,129.81	9,087.38	-338.16	22,765.39	0.31	12,054.63	-214.19	87,030.15	0.41	431.88	1,692.68	116.41	27,497.91	0.22	2,450.91	107.74	119,420.63	0.38
seq369	830.65	7,932.92	-167.89	11,927.11	0.35	10,965.00	-150.47	40,775.48	0.48	317.52	1,530.78	117.61	17,841.28	0.28	2,208.51	115.15	46,109.43	0.42
seq370	765.83	7,388.16	-214.14	7,414.36	0.34	10,606.10	-100.14	38,995.23	0.46	292.74	1,329.23	116.81	10,611.80	0.24	2,053.92	114.40	35,146.18	0.39
seq371	1,326.45	9,831.63	-132.07	29,537.58	0.30	15,189.77	-94.94	163,421.50	0.42	507.04	1,930.71	114.53	45,361.00	0.24	3,019.12	114.52	182,173.29	0.37
seq372	890.78	6,431.59	-95.86	5,209.69	0.37	9,371.45	-58.37	32,393.37	0.49	340.50	1,271.80	113.94	8,697.64	0.30	1,968.19	114.49	26,229.58	0.44
seq373	871.20	5,607.79	-46.10	2,994.03	0.36	8,634.77	-65.38	23,311.61	0.50	333.02	1,111.57	111.57	4,956.88	0.32	1,800.75	112.64	21,194.47	0.46
seq374	1,586.96	9,861.52	-83.28	29,584.71	0.30	14,417.48	-108.53	194,476.33	0.42	606.62	1,974.11	111.39	47,730.01	0.26	3,041.78	110.43	210,560.26	0.38
seq375	371.48	3,735.76	-377.73	660.12	0.41	4,859.91	-213.58	1,383.58	0.59	142.00	675.14	119.71	868.05	0.41	961.03	114.88	1,830.87	0.55
seq376	1,364.91	7,103.46	-69.24	7,519.72	0.33	9,683.84	-99.03	85,052.71	0.42	521.74	1,394.85	106.44	11,686.22	0.29	2,228.01	102.22	76,245.31	0.40
seq377	525.35	5,419.52	-218.89	2,368.45	0.40	7,466.24	-98.58	9,004.80	0.52	200.82	997.63	118.65	3,498.58	0.29	1,436.32	114.64	8,905.46	0.44
seq378	587.36	4,240.41	-191.25	1,426.98	0.41	7,126.32	-148.72	7,563.10	0.54	224.52	869.41	116.09	1,985.99	0.37	1,411.61	114.73	9,229.12	0.50
seq379	1,203.73	11,835.94	-71.43	46,557.00	0.30	17,035.99	-71.32	392,908.40	0.40	460.13	2,253.64	116.64	79,498.33	0.25	3,638.23	113.66	266,613.40	0.35
seq380	1,034.16	6,274.69	-44.75	4,717.25	0.38	9,437.58	-114.46	36,116.41	0.48	395.31	1,263.92	110.06	8,345.49	0.31	1,971.94	110.11	37,452.47	0.44
seq381	587.36	4,235.45	-315.63	1,122.62	0.42	5,596.33	-260.73	3,406.51	0.57	224.52	780.96	114.02	1,414.04	0.37	1,148.17	115.83	3,373.38	0.51
seq382	694.98	8,456.20	-152.70	11,465.20	0.34	11,535.54	-41.46	80,030.60	0.44	265.66	1,542.62	118.95	18,462.72	0.25	2,416.05	112.88	59,093.80	0.40
seq383	1,232.06	10,621.13	-168.80	38,587.07	0.32	15,400.65	-150.48	224,561.36	0.42	470.96	2,054.64	115.68	56,280.25	0.25	3,253.87	112.77	211,649.48	0.38
seq384	1,245.98	10,377.02	-157.70	36,943.77	0.32	15,610.06	-159.22	228,402.75	0.42	476.28	2,040.36	115.39	55,045.72	0.26	3,290.20	113.11	218,020.54	0.38
seq385	1,083.04	11,348.18	-132.71	37,796.55	0.29	16,639.64	-51.70	259,391.46	0.40	414.00	2,077.10	117.54	60,735.41	0.22	3,351.97	115.62	191,814.76	0.35
seq386	557.22	6,399.10	-84.13	3,917.94	0.38	9,615.15	-74.03	37,729.81	0.48	213.00	1,205.45	118.76	7,031.79	0.28	2,018.42	113.57	29,184.94	0.43
seq387	947.09	6,424.89	-79.96	5,406.22	0.37	8,653.47	-135.63	43,008.83	0.46	362.03	1,343.75	115.53	10,620.55	0.32	1,998.66	108.05	37,575.62	0.44
seq388	1,034.16	5,429.14	-95.45	2,696.69	0.37	7,678.77	-124.37	31,424.68	0.46	395.31	1,066.04	106.84	4,172.01	0.30	1,796.46	105.99	25,574.13	0.44
seq389	1,174.72	6,390.29	-113.34	5,770.20	0.35	8,655.21	-135.30	38,647.36	0.46	449.04	1,284.42	108.74	8,309.46	0.30	1,964.95	106.91	36,082.41	0.43
seq390	1,159.95	10,613.49	-175.19	37,972.97	0.31	14,442.69	-118.52	242,664.03	0.41	443.39	2,032.81	116.29	53,576.24	0.25	3,140.81	112.50	168,632.60	0.37
seq391	742.96	5,056.92	-158.33	1,858.91	0.41	7,438.88	-111.10	9,691.23	0.53	284.00	946.30	111.49	2,784.28	0.31	1,458.81	111.36	11,455.45	0.47
seq392	1,050.70	8,590.87	-94.65	14,189.49	0.34	11,934.86	-85.79	109,907.73	0.44	401.64	1,651.06	115.15	23,972.91	0.28	2,594.06	111.30	86,158.62	0.41
seq393	742.96	4,659.00	-108.54	1,242.13	0.42	7,200.99	-29.09	13,056.55	0.52	284.00	872.46	109.07	1,958.01	0.36	1,496.48	107.98	13,517.86	0.48
seq394	830.65	6,786.22	-84.98	5,408.97	0.35	9,707.50	-113.59	26,473.47	0.47	317.52	1,278.80	114.36	8,829.92	0.29	1,910.28	112.93	30,622.98	0.44
seq395	809.62	6,911.40	-99.67	5,437.92	0.36	9,610.58	-142.32	25,018.32	0.49	309.48	1,283.36	114.84	8,865.90	0.29	1,911.37	117.59	21,628.36	0.44
seq396	765.83	5,961.98	-131.22	3,641.35	0.39	8,487.45	-103.46	18,341.23	0.52	292.74	1,145.26	114.81	5,582.49	0.33	1,720.60	114.52	16,743.97	0.46
seq397	1,203.73	7,713.07	-129.17	10,430.66	0.35	11,698.86	-140.49	70,954.64	0.45	460.13	1,495.42	111.13	16,108.79	0.28	2,395.89	111.16	71,831.06	0.41
seq398	909.94	6,483.07	-230.15	5,066.10	0.35	9,195.37	-106.43	22,558.36	0.49	347.83	1,193.21	112.95	6,881.44	0.25	1,820.67	113.07	23,101.75	0.43
seq399	557.22	4,101.98	-361.30	942.54	0.41	6,096.94	-101.53	3,549.66	0.56	213.00	737.24	114.12	1,124.70	0.28	1,140.35	108.51	5,741.84	0.51
seq400	788.03	5,706.72	-244.95	3,108.68	0.38	8,491.71	-102.57	15,091.34	0.51	301.23	1,059.58	113.95	4,472.31	0.27	1,673.19	115.64	15,637.46	0.45
seq401	742.96	4,639.26	-55.36	1,293.43	0.42	6,109.98	-141.20	6,133.48	0.54	284.00	899.99	110.00	2,306.44	0.32	1,279.86	110.93	5,550.23	0.50
seq402	947.09	6,978.66	-28.12	5,627.74	0.35	9,454.12	-100.92	30,148.42	0.48	362.03	1,326.13	112.48	10,245.65	0.28	1,955.85	113.44	27,452.65	0.43
seq403	415.33	2,932.79	-255.95	229.35	0.49	4,735.97	-305.51	1,204.83	0.59	158.76	546.66	114.09	395.85	0.37	906.24	123.84	1,075.03	0.52
seq404	830.65	5,351.24	-14.28	1,657.02	0.39	7,936.07	-100.66	15,534.98	0.50	317.52	989.63	108.82	3,118.97	0.35	1,617.01	114.15	13,434.40	0.48
seq405	742.96	6,695.86	-32.05	4,787.40	0.37	9,232.60	-46.26	28,718.21	0.49	284.00	1,287.94	115.94	8,808.22	0.30	1,861.11	112.05	32,079.44	0.43
seq406	765.83	5,935.53	-241.93	5,021.64	0.39	9,266.35	-237.21	29,713.24	0.48	292.74	1,191.01	116.48	6,810.04	0.31	1,959.12	115.68	24,347.93	0.44
seq407	909.94	8,393.68	-164.00	13,494.34	0.34	11,743.47	-65.08	70,439.81	0.45	347.83	1,580.59	116.83	20,658.48	0.25	2,410.02	112.03	71,561.95	0.40
seq408	1,462.52	10,946.80	-110.48	41,184.02	0.30	15,573.88	-99.98	230,740.28	0.42	559.05	2,131.99	114.21	66,246.85	0.25	3,231.06	113.77	219,185.04	0.37
seq409	557.22	4,532.29	-140.15	1,182.85	0.44	6,458.76	-106.12	4,790.04	0.57	213.00	852.82	115.19	1,898.56	0.35	1,249.53	113.58	5,816.14	0.50
seq410	871.20	5,933.26	-288.74	5,537.18	0.32	8,793.38	-189.51	17,353.83	0.47	333.02	1,175.15	114.51	6,567.59	0.24	1,755.90	109.41	26,989.71	0.42
seq411	909.94	6,812.94	-184.92	6,574.43	0.37	9,833.80	-75.56	46,618.03	0.47	347.83	1,298.92	114.00	9,337.91	0.29	2,143.88	112.00	35,305.15	0.43
seq412	830.65	5,120.32	-36.80	2,216.50	0.36	8,094.61	-86.96	15,273.64	0.49	317.52	1,037.83	111.41	3,973.88	0.31	1,643.82	109.95	22,015.13	0.44
seq413	694.98	5,004.12	-147.40	1,990.77	0.42	6,592.86	-71.30	5,305.42	0.55	265.66	966.04	112.44	2,956.08	0.35	1,297.24	109.70	7,349.80	0.47
seq414	742.96	6,138.20	-145.55	3,327.70	0.37	8,827.55	-135.15	15,018.35	0.51	284.00	1,120.29	114.82	5,306.95	0.30	1,697.72	115.53	18,161.74	0.46
seq415	1,159.95	6,823.45	-200.55	7,967.73	0.35	9,338.49	-50.67	25,138.42	0.47	443.39	1,350.52	110.87	11,030.79	0.26	1,862.15	107.31	37,269.85	0.41
seq416	809.62	7,087.85	-150.85	6,804.14	0.37	10,032.38	-62.88	39,028.67	0.48	309.48	1,349.84	116.61	10,914.66	0.30	2,099.31	115.17	31,401.66	0.43
seq417	587.36	4,288.67	-182.81	1,107.38	0.45	7,037.03	-165.02	6,322.34	0.55	224.52	825.25	114.50	1,712.69	0.32	1,347.75	114.01	7,831.66	0.49
seq418	415.33	5,189.08	-198.67	2,095.57	0.41	7,340.97	-152.15	8,642.36	0.55	158.76	989.11	121.60	3,286.20	0.32	1,448.05	117.07	8,969.48	0.48
seq419	525.35	4,218.08	-104.73	916.52	0.48	6,666.29	-49.46	8,618.36	0.55	200.82	817.70	114.82	1,488.60	0.42	1,363.58	109.73	9,627.69	0.51
seq420	454.97	4,242.06	-253.42	1,108.04	0.45	6,486.15	-99.43	6,046.21	0.55	173.91	802.60	117.96	1,499.58	0.37	1,252.78	112.09	7,148.25	0.50
seq421	491.42	3,685.86	-65.13	505.10	0.48	5,711.23	-154.41	3,822.40	0.57	187.85	709.07	114.41	887.17	0.41	1,157.27	113.87	3,603.15	0.56
seq422	694.98	5,011.49	-180.93	1,916.66	0.41	7,261.17	-113.05	11,600.67	0.53	265.66	954.54	114.27	2,806.64	0.33	1,499.01	110.06	13,868.83	0.49
seq423	454.97	5,351.69	-223.67	2,385.08	0.41	7,507.87	-141.70	10,618.97	0.54	173.91	1,001.20	120.16	3,278.24	0.33	1,495.60	114.96	9,596.21	0.48
seq424	415.33	4,231.32	-4.57	698.78	0.44	6,954.15	-114.60	6,762.64	0.56	158.76	792.76	116.71	1,295.85	0.41	1,379.91	117.65	5,947.94	0.51
seq425	788.03	6,536.76	-69.98	4,062.52	0.37	9,988.52	-119.14	35,607.99	0.48	301.23	1,206.98	113.77	7,210.15	0.28	2,005.42	112.71	36,553.43	0.43
seq426	669.70	5,381.36	-260.25	2,242.29	0.39	6,944.89	-197.49	5,471.11	0.52	255.99	965.97	114.23	3,174.38	0.32	1,297.21	115.62	6,848.82	0.44
seq427	262.68	2,614.37	-205.02	229.65	0.61	4,521.14	-186.92	1,309.96	0.68	100.41	532.08	117.40	292.29	0.53	917.18	118.48	1,190.00	0.63
seq428	557.22	3,549.98	-293.82	629.77	0.45	5,353.88	-150.00	2,386.12	0.58	213.00	669.00	111.88	733.10	0.38	1,029.05	107.01	3,746.64	0.56
seq429	616.03	3,126.55	-169.20	391.69	0.47	5,290.46	-116.19	2,641.37	0.57	235.48	614.31	106.90	502.07	0.39	1,026.34	104.57	4,270.43	0.55
seq430	415.33	3,390.38	-144.55	380.06	0.51	5,608.07	-145.95	2,499.99	0.59	158.76	632.42	115.45	615.41	0.41	1,068.19	111.19	3,695.43	0.54
seq431	557.22	3,680.82	-272.67	610.08	0.45	5,310.68	-95.92	2,654.76	0.58	213.00	681.17	112.40	803.45	0.36	1,044.53	105.07	4,066.61	0.52
seq432	871.20	3,862.16	-68.00	820.47	0.38	6,625.91	-102.54	5,396.50	0.53	333.02	774.93	102.81	1,125.39	0.33	1,260.08	107.48	8,494.56	0.48
